order	patch_no	decision	category	sha256	filename	reason
83	551	keep	CVE	6baddd232fef4fb881955e9424ae6896ed62258fa2bba2daaaca72e3c06a336b	php-7.4-CVE-2022-37454.patch	
84	552	keep	CVE	cd0cedb0b9033627674acad6c8f105fb6fa1bfd88d2ad2fec2f78c26282deaa6	php-upstream-CVE-2022-31631.patch	
85	553	keep	CVE	cba206ddb91d8e9e23fc1642aee77c03d0298495d19a7fa60ec5652a07576024	upstream-CVE-2023-0568.patch	
86	554	keep	CVE	043a0722cab8559ed1a9fa6a92ebcaede30bb9e51901cdc576ceb78d0efa6787	php-7.0-CVE-2023-0662.patch	
87	555	keep	CVE	b0009da9683d3b918f5b2170b86ff5187683024d03f78edca478569dc0e417a4	upstream-CVE-2023-0567.patch	
88	556	keep	CVE	7dedb780e52a01bd9de84eaaf8a3406655b218211f15410219c75187fc6e36c4	php-7.3-CVE-2023-3823.patch	
89	557	keep	CVE	1d5db885f62c714b7504baa35e1b57fb819b0a2882eefb870e59877d2e344100	php-upstream-CVE-2023-3824.patch	
90	558	keep	CVE	62ab149637c316d14d75ba55e76b7bf7a65d7485e492b730cc2aa11a67512fc6	php-7.1-CVE-2023-3247.patch	
91	559	keep	CVE	92acefa08f74d2e56bcf7a35bab0aa4db5a281eec92cf33eaab3ec31c09d8549	php-7.0-CVE-2024-2756.patch	
92	560	keep	CVE	2f5b76f22f954ebb2321e43a604e791499970cfcd95338e1ff3bb69231cfaf30	php7.2-CVE-2024-3096.patch	
93	561	keep	CVE	0046921b41186ed52f762b76ae819230512826437a09e643a6983a6a5beea096	php-7.2-CVE-2024-5458.patch	
94	562	keep	CVE	ea097c8af63806a2798c6f01ea0cf4904b9f9b1d46ceb18d0ffe05d9f9f9b9b3	php-7.3-CVE-2024-8925.patch	
95	563	keep	CVE	699324f2f8d70b81a933be46f26f8a9582adf5ace75a4c33d0872103c4af8da4	php-8.1-CVE-2024-8927.patch	
